id,chapterNo,chapterTitle,unitNo,unitTitle,wordNo,originalWord,word,translation,partOfSpeech,example,exampleZh,translationSource,exampleSource,qaFlags,source,note
0001,1,People,1,Life Stages,1,baby,baby,嬰兒,n.[C],The baby is so tiny that Annie is afraid to hold it.,嬰兒太小了，安妮不敢抱它。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0002,1,People,1,Life Stages,2,born,born,出生的,a.,Jimmy was born in January.,吉米出生於一月。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0003,1,People,1,Life Stages,3,child,child,小孩,n.[C],Mathew is the only child in his family.,馬修是家裡唯一的孩子。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0004,1,People,1,Life Stages,4,kid,kid,小孩,n.[C],Daisy likes to be with kids.,黛西喜歡和孩子們在一起。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0005,1,People,1,Life Stages,5,childhood,childhood,幼年時期,n.[C],"In my childhood, I used to swim in the lake.",小時候，我常在湖裡游泳。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0006,1,People,1,Life Stages,6,boy,boy,男孩,n.[C],You are not a boy anymore. Be a man!,你不再是男孩了。做個男人吧！,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0007,1,People,1,Life Stages,7,girl,girl,女孩,n.[C],"Girls, please take out your ballet shoes.",女孩們，請把芭蕾舞鞋拿出來。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0008,1,People,1,Life Stages,8,teenager,teenager,青少年,n.[C],Many teenagers like to play computer games.,許多青少年喜歡玩電腦遊戲。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0009,1,People,1,Life Stages,9,youth,youth,青春時代,n.[C],I spent much of my youth reading comic books.,我年輕時的大部分時間都在閱讀漫畫書。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0010,1,People,1,Life Stages,10,adult,adult,成年人；成年的,n.[C] a.,Susan plans to be a writer when she is an adult.,蘇珊計劃成年後成為作家。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0011,1,People,1,Life Stages,11,man,man,男人,n.[C],The man's name is Adam Smith.,這個人的名字叫亞當‧斯密。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0012,1,People,1,Life Stages,12,guy,guy,傢伙,n.[C],Brian is a really nice guy.,布萊恩是一個非常好的人。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0013,1,People,1,Life Stages,13,woman,woman,婦女,n.[C],The woman in black is my sister.,那個黑衣女人是我的妹妹。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0014,1,People,1,Life Stages,14,male,male,男子,n.[C],"Females can have babies, but males cannot.",女性可以生孩子，但男性不能。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0015,1,People,1,Life Stages,15,female,female,女子,n.[C],This lesson uses the word female in the unit Life Stages.,本課程在「生命階段」單元中使用「女性」一詞。,source_771,generated_example,,Manual correction from page image,manual correction from page image / OCR
0016,1,People,2,A Kingdom,1,king,king,國王,n.[C],Do you know the story of King Arthur?,你知道亞瑟王的故事嗎？,source_771,source_771,,PDF text layer,± 3 king (n.) O
0017,1,People,2,A Kingdom,2,queen,queen,皇后,n.[C],The queen has great power in this country.,女王在這個國家擁有很大的權力。,source_771,source_771,,PDF text layer,4 queen
0018,1,People,2,A Kingdom,3,beauty,beauty,美人,n.[C],That woman is so tall and pretty. She is a beauty!,那個女人又高又漂亮。她是美女！,source_771,source_771,,PDF text layer,5 beauty
0019,1,People,2,A Kingdom,4,prince,prince,王子,n.[C],"After the old king dies, the prince will become the",老國王死後，王子將成為,source_771,source_771,,PDF text layer,0 6 prince (n.)o
0020,1,People,2,A Kingdom,5,princess,princess,公主,n.[C],"The king loves his daughter, Princess Diana, very much.",國王非常愛他的女兒戴安娜王妃。,source_771,source_771,,PDF text layer,7 princess (n.) O
0021,1,People,2,A Kingdom,6,angel,angel,天使,n.[C],Many people think angels are sent by God to take care,許多人認為天使是上帝派來照顧的,source_771,source_771,,PDF text layer,e 9 angel (n.) o
0022,1,People,2,A Kingdom,7,god,god,神,n.[C] [U],Do you believe in God?,你相信上帝嗎？,source_771,source_771,,PDF text layer,god
